Name,Status,Time
jiaqi-7,Arrived,14:29:46
Unknown-0,Unauthorized,14:29:57
Unknown-0,Left,14:29:57
jiaqi-7,Arrived,18:50:10
jiaqi-7,Left,18:50:15
jiaqi-7,Arrived,18:52:11
Unknown-0,Unauthorized,18:52:24
jiaqi-7,Left,18:52:24
Unknown-0,Left,18:52:24
jiaqi-7,Arrived,19:15:24
jiaqi,Arrived,19:20:41
jiaqi,Left,19:20:47
jiaqi,Arrived,20:13:19
jiaqi,Left,20:13:29
jiaqi,Arrived,20:15:04
jiaqi,Arrived,20:33:22
jiaqi,Left,20:33:36
jiaqi,Arrived,20:35:57
jiaqi,Arrived,20:39:55
jiaqi,Left,20:39:57
jiaqi,Arrived,20:41:25
jiaqi,Left,20:41:28
jiaqi,Arrived,20:42:43
jiaqi,Arrived,20:44:34
jiaqi,Left,20:44:44
jiaqi,Arrived,20:46:07
jiaqi,Left,20:46:23
Unknown,Unauthorized,20:55:56
jiaqi,Arrived,20:55:56
Unknown,Left,20:56:01
jiaqi,Left,20:56:08
