Name,Status,Time
jiaqi-7,Arrived,10:57:46
Unknown-1,Unauthorized,10:57:54
Unknown-0,Unauthorized,10:58:03
Unknown-1,Left,10:58:00
Unknown-1,Unauthorized,10:58:13
Unknown-1,Left,10:58:13
Unknown-0,Left,10:58:16
Unknown-0,Unauthorized,10:58:27
Unknown-1,Unauthorized,10:58:30
Unknown-2,Unauthorized,10:58:34
Unknown-2,Left,10:58:36
Unknown-1,Left,10:58:36
Unknown-1,Unauthorized,10:58:42
Unknown-2,Unauthorized,10:58:42
Unknown-2,Left,10:58:44
Unknown-1,Left,10:58:50
jiaqi-7,Left,10:58:50
Unknown-1,Unauthorized,10:58:57
jiaqi-7,Arrived,10:58:58
Unknown-1,Left,10:59:06
jiaqi-7,Left,10:59:08
jiaqi-7,Arrived,10:59:18
Unknown-0,Left,10:59:13
